title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Intouchables,112,Biography; Comedy; Drama,Olivier Nakache; Eric Toledano,Olivier Nakache; Eric Toledano,François Cluzet; Omar Sy; Anne Le Ny,8.6,"440,714"
Modern Times,87,Comedy; Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Henry Bergman,8.6,"127,384"
The Green Mile,189,Crime; Drama; Fantasy,Frank Darabont,Stephen King; Frank Darabont,Tom Hanks; Michael Clarke Duncan; David Morse,8.5,"703,175"
Terminator 2: Judgment Day,137,Action; Sci-Fi,James Cameron,James Cameron; William Wisher Jr.,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,8.5,"682,681"
Whiplash,107,Drama; Music,Damien Chazelle,Damien Chazelle,Miles Teller; J.K. Simmons; Melissa Benoist,8.5,"306,343"
The Pianist,150,Biography; Drama; War,Roman Polanski,Ronald Harwood; Wladyslaw Szpilman,Adrien Brody; Thomas Kretschmann; Frank Finlay,8.5,"449,899"
The Departed,151,Crime; Drama; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,8.5,"793,715"
Memento,113,Mystery; Thriller,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,8.5,"778,284"
Back to the Future,116,Adventure; Comedy; Sci-Fi,Robert Zemeckis,Robert Zemeckis; Bob Gale,Michael J. Fox; Christopher Lloyd; Lea Thompson,8.5,"657,760"
Gladiator,155,Action; Drama,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,8.5,"895,525"
Apocalypse Now,153,Drama; War,Francis Ford Coppola,John Milius; Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall,8.5,"416,589"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Comedy; War,Stanley Kubrick,Stanley Kubrick; Terry Southern,Peter Sellers; George C. Scott; Sterling Hayden,8.5,"317,674"
Sunset Blvd.,110,Drama; Film-Noir,Billy Wilder,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,8.5,"128,114"
The Prestige,130,Drama; Mystery; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,8.5,"762,923"
